BRANCHES,RELAXS,ACT_NDS,DEPTH,BEST_INT_OBJ,BEST_RELAX_OBJ,REL_GAP(%),TIME
0,1,1,0,NA,-4.1346093501e+02,NA,4.7
0,1,1,0,NA,-4.1346093501e+02,NA,34.4
8,12,9,4,NA,-4.1346086617e+02,NA,71.1
26,30,27,6,NA,-4.1346086617e+02,NA,72.6
50,54,51,12,NA,-4.1346086617e+02,NA,74.6
98,102,99,24,NA,-4.1346086617e+02,NA,77.6
192,196,193,46,NA,-4.1346086617e+02,NA,84.0
279,283,280,58,NA,-4.1346086617e+02,NA,90.7
391,395,392,93,NA,-4.1346086617e+02,NA,97.8
459,463,456,121,-4.1345501399e+02,-4.1346086617e+02,1.42e-03,101.9
