BRANCHES,RELAXS,ACT_NDS,DEPTH,BEST_INT_OBJ,BEST_RELAX_OBJ,REL_GAP(%),TIME
0,1,1,0,NA,4.1456541171e+00,NA,5.5
0,1,1,0,1.0525942581e+01,4.1456541171e+00,60.61,6.4
0,1,1,0,1.0525942581e+01,4.1456541171e+00,60.61,9.9
0,2,1,0,1.0525942581e+01,4.2221444566e+00,59.89,13.8
0,3,1,0,1.0525942581e+01,4.2880658481e+00,59.26,19.0
0,4,1,0,1.0525942581e+01,4.3630264245e+00,58.55,25.4
0,5,1,0,1.0525942581e+01,4.4258959673e+00,57.95,32.6
0,6,1,0,1.0525942581e+01,4.4710661359e+00,57.52,43.0
0,7,1,0,1.0525942581e+01,4.5247625045e+00,57.01,49.1
0,8,1,0,1.0525942581e+01,4.5860582536e+00,56.43,55.2
0,9,1,0,1.0525942581e+01,4.6572483019e+00,55.75,61.4
0,10,1,0,1.0525942581e+01,4.7114590001e+00,55.24,66.3
0,11,1,0,1.0525942581e+01,4.7638113460e+00,54.74,72.3
0,12,1,0,1.0525942581e+01,4.8185557245e+00,54.22,74.0
0,13,1,0,1.0525942581e+01,4.8705249557e+00,53.73,75.6
0,14,1,0,1.0525942581e+01,4.9240629405e+00,53.22,77.6
0,15,1,0,1.0525942581e+01,4.9941550939e+00,52.55,79.9
0,16,1,0,1.0525942581e+01,5.0552903359e+00,51.97,82.2
0,17,1,0,1.0525942581e+01,5.1025082560e+00,51.52,84.4
0,18,1,0,1.0525942581e+01,5.1675181416e+00,50.91,86.8
0,19,1,0,1.0525942581e+01,5.2210069952e+00,50.40,89.4
0,20,1,0,1.0525942581e+01,5.2688195176e+00,49.94,91.9
0,21,1,0,1.0525942581e+01,5.3188587578e+00,49.47,94.3
0,22,1,0,1.0525942581e+01,5.3769474408e+00,48.92,96.6
0,23,1,0,1.0525942581e+01,5.4419480179e+00,48.30,100.1
0,24,1,0,1.0525942581e+01,5.4975140127e+00,47.77,103.5
0,25,1,0,1.0525942581e+01,5.5656911411e+00,47.12,107.8
0,26,1,0,1.0525942581e+01,5.6433318793e+00,46.39,111.1
0,27,1,0,1.0525942581e+01,5.7302163457e+00,45.56,115.6
0,28,1,0,1.0525942581e+01,7.5873756729e+00,27.92,118.1
0,29,1,0,1.0525942581e+01,9.6741662248e+00,8.09,120.2
