BRANCHES,RELAXS,ACT_NDS,DEPTH,BEST_INT_OBJ,BEST_RELAX_OBJ,REL_GAP(%),TIME
0,1,1,0,NA,-2.0640271349e+02,NA,4.4
0,1,1,0,-2.0162924283e+02,-2.0640271349e+02,2.37,5.3
0,1,1,0,-2.0162924283e+02,-2.0640271349e+02,2.37,9.1
0,2,1,0,-2.0162924283e+02,-2.0615618630e+02,2.25,13.6
0,3,1,0,-2.0162924283e+02,-2.0594264266e+02,2.14,18.1
0,12,1,0,-2.0162924283e+02,-2.0574555988e+02,2.04,20.6
0,24,1,0,-2.0162924283e+02,-2.0574555988e+02,2.04,20.7
0,35,1,0,-2.0162924283e+02,-2.0574555988e+02,2.04,20.7
11,47,9,2,-2.0162924283e+02,-2.0574296257e+02,2.04,22.2
29,65,27,6,-2.0162924283e+02,-2.0573941208e+02,2.04,24.8
53,89,51,12,-2.0162924283e+02,-2.0573798232e+02,2.04,27.5
100,136,76,19,-2.0162924283e+02,-2.0573798232e+02,2.04,31.5
100,147,76,19,-2.0162924283e+02,-2.0573798232e+02,2.04,31.9
104,158,76,19,-2.0162924283e+02,-2.0573798232e+02,2.04,31.9
125,179,76,19,-2.0162924283e+02,-2.0573798232e+02,2.04,32.0
145,197,76,19,-2.0162924283e+02,-2.0573798232e+02,2.04,32.0
169,217,76,19,-2.0162924283e+02,-2.0573798232e+02,2.04,32.0
209,254,76,19,-2.0162924283e+02,-2.0573798232e+02,2.04,32.0
241,274,76,19,-2.0162924283e+02,-2.0573798232e+02,2.04,32.1
276,302,79,22,-2.0162924283e+02,-2.0573798232e+02,2.04,35.9
296,322,79,24,-2.0162924283e+02,-2.0573798232e+02,2.04,39.3
316,342,79,27,-2.0162924283e+02,-2.0573798232e+02,2.04,43.3
336,362,79,29,-2.0162924283e+02,-2.0573798232e+02,2.04,47.8
355,381,78,32,-2.0162924283e+02,-2.0573798232e+02,2.04,50.9
377,403,78,34,-2.0162924283e+02,-2.0573798232e+02,2.04,54.5
396,422,79,37,-2.0162924283e+02,-2.0573798232e+02,2.04,58.1
422,448,83,40,-2.0162924283e+02,-2.0573798232e+02,2.04,62.0
442,468,89,42,-2.0162924283e+02,-2.0573798232e+02,2.04,65.8
466,492,97,45,-2.0162924283e+02,-2.0573798232e+02,2.04,69.3
466,503,97,45,-2.0162924283e+02,-2.0573798232e+02,2.04,69.7
470,514,97,45,-2.0162924283e+02,-2.0573798232e+02,2.04,69.8
